HouseID_EC,neighborhood_id,neighborhood_name,date_entered,entered_by,qaqc_date,qaqc_by,survey_date,survey_time,survey_time_ampm,crew,weather_sunny,weather_cloudy,weather_hot,weather_cool,weather_dry,weather_rain,single_family_home,corner_lot,no_sidewalk,property_othernotes,property_notes,houseexterior_ivy,houseexterior_paint,houseexterior_wood,houseexterior_vinyl,houseexterior_bars,houseexterior_block,houseexterior_stucco,houseexterior_other,houseexterior_other_describe,exteriorquality_high,exteriorquality_medium,exteriorquality_low,yardmaintenance_high,yardmaintenance_medium,yardmaintenance_low,yardorderliness_high,yardorderliness_medium,yardorderliness_low,yardquality_notes,lawn_present,lawn_patchiness,lawn_percent_living,lawn_percent_dead,lawn_percent_weeds,lawn_percent_bare,lawn_percent_other,lawn_other_description,lawngrasscolor_percent_verygreen,lawngrasscolor_percent_modgreen,lawngrasscolor_percent_greenyellow,lawngrasscolor_percent_yellow,lawngrasscolor_percent_brown,lawnallcolor_percent_verygreen,lawnallcolor_percent_medgreen,lawnallcolor_percent_greenyellow,lawnallcolor_percent_yellow,lawnallcolor_percent_brown,lawn_quality,lawn_notes,lawn_edges_trimmed,lawn_recently_mowed,grass_height_cm,weed_height_cm,lawn_weeds_none,lawn_weeds_few,lawn_weeds_some,lawn_weeds_numerous,lawn_weeds_throughout,xeric_weeds_none,xeric_weeds_few,xeric_weeds_some,xeric_weeds_numerous,xeric_weeds_throughout,other_weedy_areas,other_weedy_areas_description,tree_pruning_evidence,tree_pruning_evidence_notes,shrub_pruning_evidence,shrub_pruning_evidence_notes,view_streettrees,view_streettree_viewshed_quantity,view_streettree_viewshed_species,view_streettree_viewshed_height_m,view_streettree_house_quantity,view_streettree_house_species,view_streettree_house_height_m,view_desertpark,view_mesicpark,view_commercial,view_industrial,view_multifamily,view_highway,view_school,view_none,view_notes,view_neighbor_left,view_neighbor_right,view_neighbor_acrossst,view_neighbor_acrossleft,view_neighbor_acrossright,fence_front_wood_height,fence_front_wood_gate,fence_backside_wood_height,fence_backside_wood_gate,fence_front_cement_height,fence_front_cement_gate,fence_backside_cement_height,fence_backside_cement_gate,fence_front_chainlink_height,fence_front_chainlink_gate,fence_backside_chainlink_height,fence_backside_chainlink_gate,fence_front_metal_height,fence_front_metal_gate,fence_backside_metal_height,fence_backside_metal_gate,fence_front_hedge_height,fence_front_hedge_gate,fence_backside_hedge_height,fence_backside_hedge_gate,fence_continuity,bird_feeder,water_feature,front_patio,cats,dogs,animal_waste,religious_ornaments,flagpole,cars_in_yard,potted_plants,play_equiptment_toys,lawn_ornaments,chairs_tables,river_bed,topography,litter,plant_litter,maintenance_tools,lightpost,other_yard_feature,other_yard_feature_describe,drip_irrigation,sprinklers_ground,sprinklers_hose,hose,nutrients,watercan,flood_irrigation,management_unknown,management_other,management_other_describe,yard_human_activities,neighborhood_human_activities,animals_observed,animals_in_yard,animals_in_neighborhood,amount_grass_front,amount_grass_back,amount_veg_front,amount_veg_back,yard_type_front,yard_type_front_description,yard_type_back,yard_type_back_description,cactus_visible,food_garden_visible,palm_trees_visible,front_yard_area_m2,notes
100a,1,South Phoenix,02/10/09,mjs,09/22/09,mjs,08/12/08,9:50 AM,am,jv ec,1,0,1,0,1,0,0,0,0,1,1/2 of duplex,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,lawn,patchy,85,0,0,15,0,0,0,50,20,30,0,0,0,1,0,0,3,0,0,0,10,0,1,0,0,0,0,9,9,9,9,9,0,0,1,minor pruning,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,4: bare,4: none,4: none,4: none,0,0,0,0,2,0,0,0,3,1,6,1,0,0,0,0,0,0,0,0,2ft cement wall surrounds patio; 3ft chain-link fence & gate wraps around front yard; 6ft chain-link fence & gate separates front & back yards and surrounds back yard,0,0,F,0,0,0,0,0,0,F,0,0,F,0,0,F,F,F,0,F,BBQ; TV;  clothesline,0,0,0,1,0,0,0,0,0,0,owner asked about our project,heavy traffic,0,0,0,5,6,3,5,1,0,5,0,0,0,0,109,
101a,1,South Phoenix,05/01/09,mjs,10/14/09,mjs,08/12/08,9:35 AM,am,jv ec,1,0,1,0,1,0,0,0,0,1,1/2 of duplex,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,lawn,even,25,75,0,0,0,0,5,10,0,10,75,0,0,0,0,1,10,all brown; no weeds or bare patches,1,1,1,0,1,0,0,0,0,9,9,9,9,9,1,bare ground sand area,1,large branches,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,4: no yards,4: no yards,4: no yards,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3ft cement wall in front of frontyard; 3ft chain-link fence down sides of frontyard,0,0,0,0,0,0,0,0,0,0,F,0,F,0,0,F,F,F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,heavy traffic; neighbor hanging laundry,0,0,0,3,6,2,5,6,grass & sand/bare,5,0,0,0,0,88,
102a,1,South Phoenix,02/09/09,mjs,09/22/09,mjs,08/12/08,10:05 AM,am,jv ec,1,0,1,0,1,0,0,0,0,1,1/2 of duplex,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,no lawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,1,bare yard,1,large branches trimmed,1,cut back,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"4: 1/2 grass, 1/2 bare",1,4: none,4: none,"4: 1/2 weeds, 1/2 bare",0,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,3ft chain-link fence & gate surrounds front yard; 6ft chain-link fence surrounds back yard,0,0,F,0,0,0,0,0,0,0,F,0,F,0,0,F,F,F,0,F,BBQ; mop; crib; vacuum; tubing from inside house,0,0,0,1,0,0,0,0,0,0,0,neighbors in/out,0,0,0,1,6,2,5,6,mostly bare,5,0,0,0,0,97,
103a,1,South Phoenix,02/09/09,mjs,09/22/09,mjs,08/12/08,10:15 AM,am,jv ec,1,0,1,0,1,0,0,0,0,1,1/2 of duplex,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,lawn,even,100,0,0,0,0,0,25,50,0,25,0,0,1,0,0,0,2,0,1,1,3,3,0,1,0,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,4: none,"4: 1/2 bare, 1/2 weeds",3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,1,0,0,0,0,3ft chain-link fence & gate surrounds outside of front yard; 6ft other metal is gate into carport in backyard,0,0,F,0,0,0,0,0,0,F,0,F,F,0,0,0,F,0,0,F,windchimes; tubing from backyard,0,0,0,1,0,0,0,0,0,0,0,kids crying at neighborsl; heavy traffic,0,0,0,4,6,2,5,6,"1/3 patio, 2/3 grass",5,0,0,0,0,81,
104a,1,South Phoenix,02/10/09,mjs,09/22/09,mjs,08/12/08,10:20 AM,am,jv ec,1,0,1,0,1,0,0,0,0,1,1/2 of duplex,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,lawn,patchy,60,0,0,40,0,0,70,0,20,10,0,0,1,0,0,0,5,"no weeds, just bare",0,0,10,0,1,0,0,0,0,9,9,9,9,9,0,0,1,minor branches trimmed,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"4: 1/2 grass, 1/2 bare",1,4: none,3,4: bare,0,0,0,0,0,0,0,0,3,1,6,1,0,0,0,0,0,0,0,0,3ft chain-link fence & gate surrounds front yard; 6ft chain-link fence & gate surrounds and blocks off back yard,0,0,0,0,0,0,0,0,0,F,F,0,F,0,0,0,F,0,0,F,mop,0,0,0,1,0,0,0,0,0,0,kids playing in water,0,dogs,0,1,5,6,2,5,6,"1/2 bare, 1/2 grass",5,0,0,0,0,91,
105a,1,South Phoenix,05/01/09,ec,09/22/09,mjs,08/12/08,10:55 AM,am,jv ec,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,lawn,even,25,75,0,0,0,0,10,10,5,0,75,0,0,0,1,0,7,0,1,1,4,0,1,0,0,0,0,1,0,0,0,0,1,weeds in bare areas & flower beds,1,palm trimmed,1,cut back,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,1,4: none,0,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,"3ft chainlink surrounds front yard, 6ftwooden frnce around part of back yard, 6ft cement around part of back yard",0,0,F,0,0,0,0,0,0,0,0,0,0,0,0,F,F,0,0,F,warning sihn on window,1,1,0,0,0,0,0,0,0,0,0,light traffic,0,0,0,4,6,3,5,6,grass & bare area (used to have rocks),5,0,0,0,1,200,
106a,1,South Phoenix,11/04/08,ec,11/04/08,ec,06/21/08,8:05 AM,am,jv ec,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,lawn,patchy,85,0,10,5,0,0,95,0,0,5,0,1,0,0,0,0,5,0,0,0,10,7,0,0,1,0,0,1,0,0,0,0,1,flowerbed,1,branches,1,slight shaping,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4: bare & grass,1,1,4: mostly bare,0,0,0,0,2,0,5,0,3.5,1,0,0,0,0,0,0,0,0,0,0,"5 ft cement wall separates front & back, 3ft fence separates neighbors, 4ft fence goes along front of yard, 2 ft wall surrounds front yard",F,0,F,0,0,0,0,0,0,F,0,F,F,0,0,F,F,0,0,F,"windchimes, christmas lights",0,0,0,0,0,0,0,1,0,0,owner came out w kids & spoke with us,light traffic,0,0,0,5,6,3,5,1,0,5,0,0,0,0,160,
107a,1,South Phoenix,07/22/08,jv,09/03/08,mjs,07/21/08,9:05 AM,am,jv ec,1,0,1,0,1,0,1,0,0,1,driveway is gravel,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,lawn,patchy,80,0,10,10,0,0,100,0,0,0,0,1,0,0,0,0,6,patchy but dense green,0,0,30,60,0,0,1,0,0,1,0,0,0,0,1,bare area,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4: patchy bare,1,4:patchy bare,1,0,0,5,1,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3ft chain link wraps around front yard; 3ft cement encloses front patio; 5ft wooden gate and wall separate front and back via side yard; 6 ft chain link encloses backyard,0,0,F,0,0,0,0,0,0,0,0,F,F,0,0,F,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,crying baby inside house,kids playing in yards,0,0,0,5,6,2,5,1,0,5,0,0,0,0,159,
109a,1,South Phoenix,04/06/09,mjs,09/30/09,mjs,08/01/09,7:50 AM,am,jv ec,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,lawn,patchy,25,0,5,70,0,0,0,100,0,0,0,0,1,0,0,0,9,0,0,0,20,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4: mostly bare,1,1,"4: 1/2 bare, 1/2 grass",0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,2ft chain-link fence & 2ft chain-link gate across front driveway; 5ft chain-link fence between front & sideyards,0,0,F,0,0,0,0,0,0,F,0,0,0,0,0,0,F,0,0,F,dryer in driveway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3,5,6,mostly bare w/ some grass growing & several plants (cacti & leafy),5,0,1,0,0,121,
10a,1,South Phoenix,08/05/08,jv,09/07/08,mjs,07/24/08,9:45 AM,am,jv ec,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,lawn,patchy,95,0,0,5,0,0,0,50,25,25,0,0,0,1,0,0,3,0,1,1,4,0,1,0,0,0,0,9,9,9,9,9,1,grass in bare area in front of wall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,4: mostly bare and over grown,1,0,0,0,0,"2, 4",0,6,0,3,0,6,1,3,0,0,0,0,0,0,0,"6ft fences (both) separate front and back yard and cement wall surrounds backyard; 2, 4ft wall is tiered and decorative surrounding front yard;p 3ft chain link and other metal separate neighbors (one on each side)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,light traffic and neighbors in and out,dogs,0,1,4,6,2,5,1,0,5,0,0,0,0,194,
