growth_form,species_id,scientific_name,common_name
tree,Taca,Acacia,Acacia (unknown)
tree,TAcaCon,Acacia constricta,White-Thorn Acacia
tree,TAcaCra,Acacia craspedocarpa,Leather-Leaf Acacia
tree,TAcaFar,Acacia farnesiana,Sweet acacia; Desert Acacia
tree,TAcaSal,Acacia salicina,willow acacia
tree,TAcaSch,Acacia schaffneri,Twisted acacia
tree,TAcaSte,Acacia stenophylla,Shoestring Acacia
tree,TAcaVis,Acacia visco,Arca; Visco; Viscote Blanco; Viscote Negro
tree,TAcaWil,Acacia willardiana,Palo Blanco
shrub,SAccSel,Acca sellowiana,Pinapple Guava
tree,Tace,Acer,Maple Tree (unknown)
cacti_succulent,CAgaVar,Agavaceae varigated,varigated agave
cacti_succulent,CAgaVil,Agave vilmoriniana,octopus agave
cacti_succulent,CAga,Agave,agave (Species Unknown)
cacti_succulent,CAgaAme,Agave americana,Century Plant
cacti_succulent,CAgaAng,Agave angustifolia,Varigated Carribean Agave
cacti_succulent,CAgaDes,Agave desmetiana,Smooth Agave
cacti_succulent,CAgaGem,Agave geminiflora,Twin Flowered agave
cacti_succulent,CAgaLec,Agave lechuguilla,Lechuguilla (shindagger)
cacti_succulent,CAgaLop,Agave lophantha,Thorn-crested agave
cacti_succulent,CAgaMac,Agave macroacantha,Black-spined agave
cacti_succulent,CAgaMur,Agave murpheyi ,Murphy's agave
cacti_succulent,CAgaOca,Agave ocahui,
cacti_succulent,CAgaPar,Agave parryi,Parry's Agave
cacti_succulent,CAgaSal,Agave salmiana,
cacti_succulent,CAgaSch,Agave schidigera,Durango Delight
cacti_succulent,CAgaStr,Agave stricta,Hedgehog agave
cacti_succulent,CAgaVic,Agave victoriae-reginae,Queen Victoria Agave
cacti_succulent,CAgaWeb,Agave weberii,Weber's Agave
shrub,SAlcRos,Alcea rosea,Hollyhock
tree,TAliAlt,Alianthus altissima,Tree of Heaven
tree,TAlnIca,Alnus incana,Gray Alder
cacti_succulent,CAlo,Aloe,Unknown aloe
cacti_succulent,CAloDaw,Aloe dawei,Dawe's Aloe
cacti_succulent,CAloDic,Aloe dichotoma,Quiver Tree
cacti_succulent,CAloVar,Aloe variegata,Tiger Aloe
cacti_succulent,CAloVer,Aloe vera,Medicinal Aloe
grass,RAntSau,Anthericum saundersaie,Lilly Grass
vine,VAntLep,Antigonon leptopus,Coral Vine
flower_herbaceous,FAntMaj,Antirrhinum majus,Snapdragons
tree,TAraHet,Araucaria heterophlla,Norfolk Island Pine
cacti_succulent,Carm,Armatocereus,Armatocereus (unknown)
cacti_succulent,CArmCar,Armatocereus cartwrightus,
cacti_succulent,CArmLae,Armatocereus laetus,
shrub,Sart,Artemisia,Artemisia (species unknown)
groundcover,GArtSch,Artemisia schmidtiana,Powis Castle Artemisia
shrub,Sasc,Ascelpias,Milk Weed
shrub,SAspDen,Asparagus densifloruss,Asparagus Fern
shrub,SBacSar,Baccharis sarothroides,Desert broom
